source program: DIGISIM WINDOWS
program version: 3.05
file type: CV

experimental parameters:
Estart (V): 1.000
Eswitch (V): -0.800
Eend (V): 1.000
v (V/s): 5.000e-002
temperature (K): 298.2
Ru (Ohms): 0
Cdl (F): 0
cycles: 1

experimental CV curve:
number of E(V), I(A) couples: 3600
0.098, -1.432e-006
0.097, -1.439e-006
0.096, -1.431e-006
0.095, -1.440e-006
0.094, -1.440e-006
0.093, -1.440e-006
0.092, -1.443e-006
0.091, -1.445e-006
0.090, -1.440e-006
0.089, -1.442e-006
0.088, -1.441e-006
0.087, -1.455e-006
0.086, -1.459e-006
0.085, -1.457e-006
0.084, -1.457e-006
0.083, -1.454e-006
0.082, -1.470e-006
0.081, -1.466e-006
0.080, -1.465e-006
0.079, -1.467e-006
0.078, -1.470e-006
0.077, -1.486e-006
0.076, -1.485e-006
0.075, -1.466e-006
0.074, -1.484e-006
0.073, -1.481e-006
0.072, -1.478e-006
0.071, -1.485e-006
0.070, -1.483e-006
0.069, -1.482e-006
0.068, -1.491e-006
0.067, -1.495e-006
0.066, -1.495e-006
0.065, -1.496e-006
0.064, -1.489e-006
0.063, -1.496e-006
0.062, -1.500e-006
0.061, -1.509e-006
0.060, -1.507e-006
0.059, -1.503e-006
0.058, -1.510e-006
0.057, -1.503e-006
0.056, -1.507e-006
0.055, -1.519e-006
0.054, -1.518e-006
0.053, -1.527e-006
0.052, -1.524e-006
0.051, -1.536e-006
0.050, -1.533e-006
0.049, -1.534e-006
0.048, -1.537e-006
0.047, -1.537e-006
0.046, -1.537e-006
0.045, -1.542e-006
0.044, -1.546e-006
0.043, -1.548e-006
0.042, -1.559e-006
0.041, -1.558e-006
0.040, -1.560e-006
0.039, -1.562e-006
0.038, -1.551e-006
0.037, -1.564e-006
0.036, -1.568e-006
0.035, -1.576e-006
0.034, -1.579e-006
0.033, -1.582e-006
0.032, -1.582e-006
0.031, -1.584e-006
0.030, -1.591e-006
0.029, -1.593e-006
0.028, -1.602e-006
0.027, -1.598e-006
0.026, -1.618e-006
0.025, -1.620e-006
0.024, -1.610e-006
0.023, -1.622e-006
0.022, -1.627e-006
0.021, -1.619e-006
0.020, -1.627e-006
0.019, -1.631e-006
0.018, -1.636e-006
0.017, -1.644e-006
0.016, -1.642e-006
0.015, -1.654e-006
0.014, -1.656e-006
0.013, -1.653e-006
0.012, -1.656e-006
0.011, -1.662e-006
0.010, -1.675e-006
0.009, -1.681e-006
0.008, -1.676e-006
0.007, -1.692e-006
0.006, -1.685e-006
0.005, -1.690e-006
0.004, -1.703e-006
0.003, -1.708e-006
0.002, -1.716e-006
0.001, -1.725e-006
0.000, -1.640e-006
-0.001, -1.705e-006
-0.002, -1.728e-006
-0.003, -1.741e-006
-0.004, -1.753e-006
-0.005, -1.751e-006
-0.006, -1.759e-006
-0.007, -1.764e-006
-0.008, -1.774e-006
-0.009, -1.789e-006
-0.010, -1.791e-006
-0.011, -1.799e-006
-0.012, -1.807e-006
-0.013, -1.795e-006
-0.014, -1.820e-006
-0.015, -1.823e-006
-0.016, -1.834e-006
-0.017, -1.849e-006
-0.018, -1.848e-006
-0.019, -1.851e-006
-0.020, -1.863e-006
-0.021, -1.868e-006
-0.022, -1.886e-006
-0.023, -1.892e-006
-0.024, -1.900e-006
-0.025, -1.924e-006
-0.026, -1.938e-006
-0.027, -1.933e-006
-0.028, -1.937e-006
-0.029, -1.954e-006
-0.030, -1.960e-006
-0.031, -1.967e-006
-0.032, -1.966e-006
-0.033, -1.992e-006
-0.034, -2.006e-006
-0.035, -2.010e-006
-0.036, -2.025e-006
-0.037, -2.025e-006
-0.038, -2.046e-006
-0.039, -2.047e-006
-0.040, -2.064e-006
-0.041, -2.081e-006
-0.042, -2.103e-006
-0.043, -2.104e-006
-0.044, -2.114e-006
-0.045, -2.121e-006
-0.046, -2.141e-006
-0.047, -2.158e-006
-0.048, -2.175e-006
-0.049, -2.190e-006
-0.050, -2.195e-006
-0.051, -2.225e-006
-0.052, -2.238e-006
-0.053, -2.248e-006
-0.054, -2.269e-006
-0.055, -2.277e-006
-0.056, -2.292e-006
-0.057, -2.312e-006
-0.058, -2.319e-006
-0.059, -2.335e-006
-0.060, -2.363e-006
-0.061, -2.374e-006
-0.062, -2.391e-006
-0.063, -2.401e-006
-0.064, -2.413e-006
-0.065, -2.443e-006
-0.066, -2.456e-006
-0.067, -2.483e-006
-0.068, -2.498e-006
-0.069, -2.510e-006
-0.070, -2.531e-006
-0.071, -2.550e-006
-0.072, -2.570e-006
-0.073, -2.591e-006
-0.074, -2.610e-006
-0.075, -2.632e-006
-0.076, -2.651e-006
-0.077, -2.687e-006
-0.078, -2.695e-006
-0.079, -2.709e-006
-0.080, -2.734e-006
-0.081, -2.752e-006
-0.082, -2.773e-006
-0.083, -2.778e-006
-0.084, -2.812e-006
-0.085, -2.833e-006
-0.086, -2.863e-006
-0.087, -2.878e-006
-0.088, -2.905e-006
-0.089, -2.916e-006
-0.090, -2.917e-006
-0.091, -2.962e-006
